Date,Open,High,Low,Close,Volume,Mkt-RF,SMB,HML,RF,ADS_Index,FB
2016-01-04,104.44,104.44,99.75,102.31,345674,-1.59,-0.83,0.53,0.0,-0.323492325101839,0.0
2016-01-05,102.33,103.71,101.41,102.8,215313,0.12,-0.22,0.01,0.0,-0.310797437024161,0.0
2016-01-06,102.02,103.77,100.75,103.17,234525,-1.35,-0.12,0.0,0.0,-0.298987106731355,0.004976853307981661
2016-01-07,102.02,102.02,97.3,97.65,419638,-2.44,-0.29,0.08,0.0,-0.288059798455315,0.0023334769492895017
2016-01-08,99.0,100.5,97.03,97.18,325973,-1.11,-0.47,-0.03,0.0,-0.278014091252587,-0.05028689504104667
2016-01-11,97.8,98.79,95.39,97.65,279704,-0.06,-0.65,0.34,0.0,-0.253173984436268,-0.0060435113521282975
2016-01-12,97.51,99.96,97.51,99.67,263965,0.71,-0.4,-0.77,0.0,-0.246347485069564,0.0018476703706934842
2016-01-13,100.1,100.58,95.01,95.08,312869,-2.67,-0.7,0.78,0.0,-0.240081983531977,0.018895330075725393
2016-01-14,95.1,98.87,92.45,98.12,440052,1.65,-0.01,-0.41,0.0,-0.234376665082751,-0.04035248868823503
2016-01-15,97.17,97.17,93.52,94.75,424731,-2.14,0.42,-0.21,0.0,-0.229230787825098,0.030238111276534124
2016-01-19,94.97,97.42,93.92,95.2,289285,-0.2,-1.34,-0.07,0.0,-0.21613654844106,-0.035174847237266826
2016-01-20,94.61,95.0,89.37,94.94,556933,-0.94,1.85,-1.24,0.0,-0.216588563957986,0.00304895358338318
2016-01-21,94.35,95.99,92.62,94.4,285746,0.45,-0.49,0.01,0.0,-0.218834658597094,-0.009598765750994446
2016-01-22,94.9,98.25,94.9,98.25,286709,2.08,0.22,-0.19,0.0,-0.222875124431544,-0.002015745183986758
2016-01-25,98.49,99.48,96.8,96.82,304752,-1.71,-0.37,-0.98,0.0,-0.244867297582049,0.03935956126193287
2016-01-26,96.38,97.88,95.66,97.35,247920,1.52,0.38,1.22,0.0,-0.253596891941007,-0.009540980105213686
2016-01-27,97.35,107.2,94.23,105.85,414089,-1.11,-0.54,1.72,0.0,-0.262531422950104,0.0033958767226083438
2016-01-28,105.85,110.34,104.81,107.74,978817,0.49,-0.47,1.26,0.0,-0.271672052420009,-0.030139401127551074
2016-01-29,109.0,112.84,108.3,112.15,585885,2.57,0.46,0.37,0.0,-0.281019968961615,0.14428599464738945
2016-02-01,112.0,116.0,111.25,114.9,427938,-0.04,-0.21,-0.96,0.001,-0.311011814596584,0.028015549932843102
2016-02-02,114.5,117.59,113.2,114.59,561570,-2.0,-0.03,-0.34,0.001,-0.322543448601527,0.02534228946007716
2016-02-03,115.13,115.67,109.75,112.61,529095,0.46,-0.32,0.44,0.001,-0.334500761876999,-0.0041793269911404515
2016-02-04,113.35,113.68,109.22,109.3,360398,0.27,0.2,0.32,0.001,-0.346885309304187,-0.01689436552178836
2016-02-05,109.75,110.49,103.18,103.51,721996,-2.06,-1.1,1.75,0.001,-0.359698701320095,-0.01971570268816375
2016-02-08,103.0,103.51,97.46,99.0,665260,-1.51,-0.02,0.9,0.001,-0.399849346281849,-0.059861251374129905
2016-02-09,99.67,102.4,96.82,100.03,593589,-0.1,-0.47,-0.29,0.001,-0.412771931636941,-0.04239669387979513
2016-02-10,100.33,103.25,100.24,101.42,424809,0.01,-0.05,-0.56,0.001,-0.425388176375514,-0.002107472293352159
2016-02-11,100.99,105.11,98.65,102.22,413301,-1.17,0.5,-1.47,0.001,-0.437699721063566,0.014560933364638689
2016-02-12,102.8,104.24,101.09,101.87,338135,1.98,-0.54,1.14,0.001,-0.449708166645119,0.008969593249660875
2016-02-16,103.51,104.45,100.24,101.54,420697,1.78,0.55,-0.56,0.001,-0.494341842652542,0.00098075720942802
2016-02-17,101.89,105.72,100.4,105.67,415809,1.75,-0.05,-0.63,0.001,-0.504465246101979,-0.003928901961007356
2016-02-18,105.23,106.21,103.03,103.65,272398,-0.51,0.0,0.21,0.001,-0.514166067016379,0.03472130644715781
2016-02-19,103.71,105.02,102.06,104.59,303124,0.06,0.43,-0.62,0.001,-0.523445566851688,-0.016581546505002553
2016-02-22,105.54,108.25,105.34,106.82,666196,1.43,-0.27,0.24,0.001,-0.548760310987487,0.010574978329001177
2016-02-23,106.4,107.47,105.12,105.2,234584,-1.22,0.47,-0.52,0.001,-0.556528749324893,0.02446637839327093
2016-02-24,104.56,107.79,102.74,107.29,322002,0.53,0.68,-0.32,0.001,-0.56405170052005,-0.015991357383712747
2016-02-25,107.15,108.18,105.61,108.04,279188,1.1,-0.43,0.23,0.001,-0.571330142827436,0.013374957099417432
2016-02-26,108.23,109.45,107.16,107.75,249558,-0.01,0.82,0.26,0.001,-0.578365022706573,0.011072483595601342
2016-02-29,107.0,108.92,106.75,106.97,287671,-0.69,0.66,0.26,0.001,-0.597839330152202,-0.0013889719478199336
2016-03-01,107.56,110.0,107.56,109.97,251210,2.34,-0.64,0.3,0.001,-0.604041470844868,-0.009309320802110308
2016-03-02,110.4,110.55,108.77,109.9,241598,0.54,0.5,0.71,0.001,-0.610753143658137,0.026761789285582694
2016-03-03,110.16,110.3,108.54,109.56,199630,0.51,0.44,0.64,0.001,-0.617227167643294,0.0011830278649136302
2016-03-04,109.86,110.07,107.93,108.31,229415,0.37,0.27,0.28,0.001,-0.623464384656522,-0.0033707953538650403
2016-03-07,107.81,108.47,104.72,105.25,294023,0.21,1.21,0.54,0.001,-0.64027455470714,-0.010919069760059987
2016-03-08,105.0,107.37,104.4,106.0,238025,-1.27,-1.14,-0.49,0.001,-0.644658272969583,-0.0248471214831199
2016-03-09,106.25,107.6,105.49,107.57,192745,0.5,0.04,0.38,0.001,-0.648383336158739,0.0018897954898094635
2016-03-10,107.84,108.66,105.76,107.26,231553,-0.11,-0.81,0.63,0.001,-0.651450228666923,0.014805386491652323
2016-03-11,108.44,109.42,107.92,109.2,191408,1.69,0.27,0.19,0.001,-0.653859349300569,-0.0017688595426338688
2016-03-14,108.57,110.33,108.57,109.88,161921,-0.12,-0.07,-0.87,0.001,-0.657079603927483,0.01928730449100393
2016-03-15,109.56,110.83,108.84,110.73,326026,-0.36,-1.43,0.67,0.001,-0.656793665850757,0.0043775263103962925
2016-03-16,110.72,112.5,110.1,112.3,229238,0.63,0.1,-0.04,0.001,-0.655847591128177,0.007072925846125383
2016-03-17,112.5,112.69,110.73,111.12,221752,0.72,0.84,0.58,0.001,-0.65424125673597,0.013551941875241839
2016-03-18,111.34,112.42,110.27,111.36,292741,0.54,0.34,-0.19,0.001,-0.651974453792838,-0.010394385840334227
2016-03-21,111.5,112.37,111.03,111.76,170666,0.1,-0.2,-0.31,0.001,-0.641147734629861,0.003865694674120244
2016-03-22,111.0,112.88,111.0,112.23,171965,-0.05,-0.01,-0.45,0.001,-0.63603328290054,0.0035826371410705342
2016-03-23,112.38,113.19,112.0,112.44,173210,-0.86,-1.17,-0.09,0.001,-0.630114157016024,0.003569856567315875
2016-03-24,112.0,113.2,111.68,113.11,159930,0.0,0.47,-0.06,0.001,-0.623389587276864,0.002580196268498847
2016-03-28,113.49,114.59,112.8,113.75,401542,0.04,-0.03,0.14,0.001,-0.588499523725647,0.004521502370046748
2016-03-29,113.98,116.36,113.4,116.3,277601,1.07,1.77,-1.18,0.001,-0.577969173948439,0.0056452384718026355
2016-03-30,116.5,116.99,114.35,114.55,310604,0.41,-0.29,0.14,0.001,-0.56678152753448,0.02132088760089406
2016-03-31,107.96,115.01,107.96,114.1,386674,-0.11,0.44,-0.48,0.001,-0.554935129686984,-0.012476353353468743
2016-04-01,113.55,116.17,113.31,116.03,228874,0.64,-0.25,-0.62,0.0,-0.542428439947764,-0.005244758640591165
2016-04-04,115.78,116.33,111.61,112.3,452300,-0.41,-0.25,-0.74,0.0,-0.507017408695899,0.017032042190450118
2016-04-05,111.79,113.32,111.47,112.3,210776,-0.94,-0.08,-0.36,0.0,-0.496895961415541,-0.030709687522435018
2016-04-06,112.48,113.81,112.4,113.75,192324,1.14,0.17,-0.82,0.0,-0.48792107655553,-0.002936354773667637
2016-04-07,113.29,114.89,113.06,113.37,191255,-1.23,-0.05,-0.35,0.0,-0.48009158705774,0.013190099608436623
2016-04-08,114.07,114.59,109.9,110.51,460861,0.29,0.02,0.68,0.0,-0.473406474806679,-0.0006157906560613403
2016-04-11,111.0,111.3,108.43,108.5,379109,-0.28,-0.1,0.95,0.0,-0.459569544647611,-0.02684427525686806
2016-04-12,108.4,111.17,108.4,110.83,245957,0.99,-0.06,0.85,0.0,-0.456456695656958,-0.014935156378487984
2016-04-13,111.12,112.65,106.52,110.56,835480,1.23,0.84,0.35,0.0,-0.454127101766533,0.01475439340402396
2016-04-14,110.58,112.04,110.15,110.86,266770,0.03,-0.28,0.18,0.0,-0.452580460045266,-0.0009044772563362286
2016-04-15,110.87,110.98,109.2,109.52,191957,-0.04,0.33,-0.32,0.0,-0.451816569374054,0.002981651208121759
2016-04-18,109.44,110.81,109.2,110.4,192000,0.65,0.09,-0.19,0.0,-0.45393906072646,-0.010885421592895968
2016-04-19,116.49,116.49,109.16,112.29,281907,0.29,-0.36,1.48,0.0,-0.455860182506171,0.007360640390688023
2016-04-20,112.2,113.27,111.56,112.44,197731,0.15,-0.1,0.54,0.0,-0.458400360775668,0.016521916785445616
2016-04-21,112.5,114.04,110.81,111.38,188829,-0.47,0.11,-0.59,0.0,-0.461559925849572,0.001157020293540266
2016-04-22,111.25,112.09,109.01,110.3,359111,0.12,0.82,0.49,0.0,-0.465339288585086,0.009032240630782543
2016-04-25,110.3,110.67,109.07,110.29,190646,-0.24,-0.58,-0.17,0.0,-0.480283743243405,-0.025715738484648188
2016-04-26,110.33,110.6,106.8,107.53,207900,0.29,0.65,0.78,0.0,-0.4857204617607,-0.0041693163663047
2016-04-27,107.99,119.39,106.31,118.8,380327,0.21,0.09,0.68,0.0,-0.491070316034719,-0.012245387409946405
2016-04-28,117.99,121.71,116.23,117.89,775454,-0.96,-0.15,0.05,0.0,-0.496334001739109,0.0011945510210064768
2016-04-29,117.06,117.84,115.84,117.4,343821,-0.5,-0.14,0.38,0.0,-0.501512203342504,0.06952541219051593
2016-05-02,117.5,118.73,116.57,118.58,256142,0.78,-0.01,-0.36,0.001,-0.516702577910784,0.0072553686188984905
2016-05-03,117.8,118.16,117.02,117.59,222502,-1.05,-0.66,-0.49,0.001,-0.520597046708055,0.008384533486174812
2016-05-04,117.02,118.3,116.5,118.19,219154,-0.66,-0.15,0.06,0.001,-0.523298749441297,-0.009661092092989296
2016-05-05,118.4,119.06,117.25,117.7,204823,-0.08,-0.5,0.09,0.001,-0.524808037429127,0.0053505414950146095
2016-05-06,117.48,119.64,117.11,119.48,241422,0.38,0.05,0.24,0.001,-0.525125106933318,-0.002119812590464192
2016-05-09,119.58,120.28,118.79,118.8,198104,0.05,0.36,-1.48,0.001,-0.51906347637792,0.01415952884231982
2016-05-10,119.96,120.5,118.9,120.3,216029,1.26,-0.4,0.47,0.001,-0.515248860056798,-0.002094417086884487
2016-05-11,120.28,121.08,119.42,119.46,207017,-0.89,-0.36,0.78,0.001,-0.510738255385807,0.010511500893734167
2016-05-12,120.0,120.84,118.9,120.27,197266,-0.11,-0.6,0.15,0.001,-0.505531075823957,-0.00816605664660438
2016-05-13,119.71,120.64,119.0,119.75,169341,-0.82,0.38,-0.66,0.001,-0.499626644250449,0.006338653522288873
2016-05-16,119.98,120.13,117.35,118.57,288089,0.99,0.28,-0.24,0.001,-0.477365067126219,-0.0039152118476840645
2016-05-17,118.96,119.02,117.2,117.27,198257,-0.95,-0.78,0.61,0.001,-0.468478964733234,-0.00956062313512161
2016-05-18,117.4,118.27,116.73,117.65,198992,0.1,0.11,0.83,0.001,-0.459063400453944,-0.011185609569589697
2016-05-19,117.03,117.59,115.88,116.83,192617,-0.33,-0.32,-0.29,0.001,-0.449117149926036,0.002553226918947757
2016-05-20,117.4,117.99,116.72,117.38,167524,0.75,0.9,-0.3,0.001,-0.43863891977888,-0.0071654661271635285
2016-05-23,117.3,117.6,115.85,115.99,187497,-0.18,0.26,-0.32,0.001,-0.403469132465352,0.004612239208215833
2016-05-24,116.25,117.94,116.12,117.9,187051,1.43,0.68,-0.34,0.001,-0.390054181163327,-0.011829359662467143
2016-05-25,118.12,118.67,117.38,117.83,187632,0.72,-0.21,0.57,0.001,-0.375834402751934,0.014807443186168986
2016-05-26,117.99,119.77,117.92,119.58,166276,-0.04,-0.09,-0.51,0.001,-0.360807948148071,0.0016129890438518503
2016-05-27,119.73,119.85,119.01,119.25,124712,0.49,0.33,-0.22,0.001,-0.344972863371693,0.013313324377882164
2016-05-31,119.5,120.1,118.12,118.72,198759,-0.01,0.5,-0.36,0.001,-0.272764709154648,-0.0007536445887685245
2016-06-01,118.05,119.08,117.82,118.82,140025,0.2,0.65,-0.25,0.001,-0.252168155242584,-0.004786095974070049
2016-06-02,118.87,119.44,118.22,119.01,122988,0.35,0.31,-0.59,0.001,-0.231669887991206,-0.00025252746780760695
2016-06-03,118.66,119.12,117.86,118.4,130757,-0.38,-0.14,-0.11,0.001,-0.211817664544607,0.0012620505703655532
2016-06-06,118.73,119.43,118.25,118.72,116523,0.6,0.68,0.32,0.001,-0.156058334820138,-0.003875312331530813
2016-06-07,118.99,119.3,117.67,117.77,156423,0.12,0.19,0.11,0.001,-0.138561595102506,0.002697464312042014
