,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3
0,116.0,116.43894427472152,1.0,1.0,1000350.0,1.0,1.0,1000350.0,1.0,1.0,942000.0
1,117.47,116.74712093889737,-1.0,-1.0,999780.0,-1.0,-1.0,999780.0,-1.0,-1.0,1001305.0
2,119.73,116.73904201222103,-1.0,-1.0,999230.0,-1.0,0.0,999780.0,-1.0,-1.0,1002415.0
3,120.67,118.70094828586872,-1.0,-1.0,997900.0,-1.0,0.0,999780.0,-1.0,-1.0,1003665.0
4,123.5,121.04058239341445,-1.0,-1.0,997240.0,-1.0,0.0,999780.0,-1.0,-1.0,1004410.0
5,124.95,123.44159965976154,-1.0,-1.0,997490.0,-1.0,0.0,999780.0,-1.0,-1.0,1004225.0
6,124.01,124.89914169253547,1.0,1.0,998465.0,1.0,1.0,1000755.0,-1.0,-1.0,1004980.0
7,125.57,124.54155688792689,-1.0,-1.0,997745.0,-1.0,-1.0,1000035.0,-1.0,-1.0,1005505.0
8,127.01,126.49533798105684,-1.0,-1.0,997050.0,-1.0,0.0,1000035.0,-1.0,-1.0,1006200.0
9,128.49,127.0754744019281,-1.0,-1.0,997395.0,-1.0,0.0,1000035.0,-1.0,-1.0,1005900.0
10,127.88,128.60112435745313,1.0,1.0,997620.0,1.0,1.0,1000260.0,-1.0,-1.0,1006165.0
11,128.02,127.87421162427059,-1.0,-1.0,997825.0,-1.0,-1.0,1000465.0,-1.0,-1.0,1005805.0
12,127.99,128.40454389629045,1.0,1.0,997355.0,1.0,1.0,999995.0,-1.0,-1.0,1005525.0
13,127.0,127.62709738048615,1.0,1.0,998405.0,1.0,0.0,999995.0,-1.0,-1.0,1006550.0
14,129.06,128.66269918377236,-1.0,-1.0,998195.0,-1.0,-1.0,999785.0,-1.0,-1.0,1006740.0
15,129.4,129.09611767940427,-1.0,-1.0,997025.0,-1.0,0.0,999785.0,-1.0,-1.0,1007870.0
16,131.79,129.55438434118457,-1.0,-1.0,996995.0,-1.0,0.0,999785.0,-1.0,-1.0,1007925.0
17,132.11,131.69445765454813,-1.0,-1.0,997045.0,-1.0,0.0,999785.0,-1.0,-1.0,1008005.0
18,132.1,132.2581407918141,1.0,1.0,996545.0,1.0,1.0,999285.0,-1.0,-1.0,1007550.0
19,130.77,131.08981159345026,1.0,1.0,996860.0,1.0,0.0,999285.0,-1.0,-1.0,1007700.0
20,131.65,131.25547389446655,-1.0,-1.0,995985.0,-1.0,-1.0,998410.0,-1.0,-1.0,1008700.0
21,133.88,131.61217001568258,-1.0,-1.0,997755.0,-1.0,0.0,998410.0,-1.0,-1.0,1007170.0
22,130.8,132.33206733508956,1.0,1.0,997820.0,1.0,1.0,998475.0,-1.0,-1.0,1007465.0
23,131.0,130.47334056674052,-1.0,-1.0,997280.0,-1.0,-1.0,997935.0,-1.0,-1.0,1008040.0
24,132.1,132.0759890140953,-1.0,-1.0,997410.0,-1.0,0.0,997935.0,-1.0,-1.0,1007920.0
25,131.84,131.64001997146272,-1.0,-1.0,996205.0,-1.0,0.0,997935.0,-1.0,-1.0,1009125.0
26,134.44,131.98115390882833,-1.0,-1.0,996380.0,-1.0,0.0,997935.0,-1.0,-1.0,1009045.0
27,134.44,134.50169939126673,1.0,1.0,996185.0,1.0,1.0,997740.0,-1.0,-1.0,1009025.0
28,134.48,134.3058344678076,-1.0,-1.0,996410.0,-1.0,-1.0,997965.0,-1.0,-1.0,1009015.0
29,134.16,134.2701160531718,1.0,1.0,996250.0,1.0,1.0,997805.0,-1.0,-1.0,1008920.0
30,134.09,134.1309363388452,1.0,1.0,995880.0,1.0,0.0,997805.0,-1.0,-1.0,1008675.0
31,133.6,133.92645275912818,1.0,1.0,995880.0,1.0,0.0,997805.0,-1.0,-1.0,1008800.0
32,133.63,133.41149675215055,-1.0,-1.0,996000.0,-1.0,-1.0,997925.0,-1.0,-1.0,1008695.0
33,133.84,133.7906089035014,-1.0,-1.0,996115.0,-1.0,0.0,997925.0,-1.0,-1.0,1008805.0
34,133.81,134.13958424788873,1.0,1.0,997235.0,1.0,1.0,999045.0,-1.0,-1.0,1010025.0
35,136.1,134.00778004643738,-1.0,-1.0,997685.0,-1.0,-1.0,999495.0,-1.0,-1.0,1009600.0
36,135.16,134.95564632160065,-1.0,-1.0,997610.0,-1.0,0.0,999495.0,-1.0,-1.0,1009655.0
37,135.46,135.47210292744674,1.0,1.0,998065.0,1.0,1.0,999950.0,-1.0,-1.0,1010185.0
38,136.37,136.3430157283204,-1.0,-1.0,998540.0,-1.0,-1.0,1000425.0,-1.0,-1.0,1009710.0
39,136.07,136.09095907804843,1.0,1.0,999165.0,1.0,1.0,1001050.0,-1.0,-1.0,1010660.0
40,137.55,136.44137916828936,-1.0,-1.0,999640.0,-1.0,-1.0,1001525.0,-1.0,-1.0,1010300.0
41,136.71,136.55249658626266,-1.0,-1.0,999415.0,-1.0,0.0,1001525.0,-1.0,-1.0,1010580.0
42,137.0,136.9462086893985,-1.0,-1.0,999195.0,-1.0,0.0,1001525.0,-1.0,-1.0,1010720.0
43,137.35,137.3058875849747,-1.0,-1.0,999310.0,-1.0,0.0,1001525.0,-1.0,-1.0,1010560.0
44,137.77,137.59656117273315,-1.0,-1.0,999270.0,-1.0,0.0,1001525.0,-1.0,-1.0,1010925.0
45,137.5,137.54397790844283,1.0,1.0,999670.0,1.0,1.0,1001925.0,-1.0,-1.0,1011150.0
46,138.82,138.2951641236497,-1.0,-1.0,999725.0,-1.0,-1.0,1001980.0,-1.0,-1.0,1011355.0
47,138.76,138.48179417076673,-1.0,-1.0,999305.0,-1.0,0.0,1001980.0,-1.0,-1.0,1011800.0
48,139.33,139.1211535860805,-1.0,-1.0,999270.0,-1.0,0.0,1001980.0,-1.0,-1.0,1011700.0
49,139.6,139.7511607434936,1.0,1.0,999425.0,1.0,1.0,1002135.0,-1.0,-1.0,1011955.0
50,140.0,139.95475799782056,-1.0,-1.0,999465.0,-1.0,-1.0,1002175.0,-1.0,-1.0,1011960.0
